"FG","FG%","3PT","3PT%","FT","FT%","RB","ORB","DRB","TRB","ASSISTS","STEALS","BLOCKS","TOS","FOULS","TFOULS","FFOULS","LEAD","2FG","POINTS","OPP FG","OPP FG%","OPP 3PT","OPP 3PT%","OPP FT","OPP FT%","OPP RB","OPP ORB","OPP DRB","OPP TRB","OPP ASSISTS","OPP STEALS","OPP BLOCKS","OPP TOS","OPP FOULS","OPP TFOULS","OPP FFOULS","OPP LEAD","OPP 2FG","OPP POINTS","WIN","DIFF"
20,38.5,5,25,16,66.7,34,11,23,0,10,9,3,14,22,0,0,0,15,61,25,42.4,8,32,16,55.2,43,18,25,0,16,7,10,13,18,0,0,28,17,74,FALSE,-13
38,59.4,20,60.6,11,73.3,40,8,32,0,27,8,6,7,17,0,0,47,18,107,21,34.4,7,33.3,13,81.3,29,10,19,0,7,3,0,13,15,0,0,0,14,62,TRUE,45
31,47,11,34.4,16,94.1,46,12,34,0,21,1,2,10,19,0,0,23,20,89,25,36.2,11,39.3,11,61.1,36,12,24,0,9,8,2,6,14,0,0,0,14,72,TRUE,17
20,36.4,10,37,18,81.8,33,8,25,0,13,6,1,17,22,0,0,0,10,68,30,51.7,6,37.5,21,75,39,8,31,0,11,9,7,10,22,0,0,19,24,87,FALSE,-19
18,34.6,3,17.6,17,70.8,30,5,25,0,9,5,2,17,24,0,0,0,15,56,26,49.1,4,30.8,18,64.3,42,8,34,0,14,5,3,13,20,0,0,22,22,74,FALSE,-18
22,37.9,10,33.3,4,57.1,27,5,22,0,9,5,0,11,22,0,0,7,12,58,22,41.5,7,41.2,24,82.8,45,12,33,0,12,8,1,13,16,0,0,17,15,75,FALSE,-17
29,43.3,15,39.5,8,80,27,12,15,0,14,7,0,11,24,0,0,2,14,81,28,60.9,17,70.8,20,66.7,35,7,28,0,19,10,2,17,14,0,0,21,11,93,FALSE,-12
25,35.7,9,30,2,100,30,11,19,0,12,10,2,11,23,0,0,0,16,61,20,46.5,8,42.1,26,86.7,39,6,33,0,12,7,5,16,13,0,0,16,12,74,FALSE,-13
21,44.7,12,46.2,23,85.2,30,6,24,0,13,4,1,14,26,0,0,0,9,77,26,46.4,9,52.9,22,71,33,10,23,0,13,8,3,7,23,0,0,14,17,83,FALSE,-6
25,43.1,8,27.6,5,55.6,24,2,22,0,11,8,4,16,22,0,0,4,17,63,23,39,7,30.4,27,77.1,48,15,33,0,11,12,3,16,14,0,0,17,16,80,FALSE,-17
21,42,7,35,14,77.8,32,10,22,0,16,6,2,15,23,0,0,7,14,63,19,38,7,35,16,66.7,34,12,22,0,13,11,1,14,21,0,0,12,12,61,TRUE,2
22,44,7,38.9,5,55.6,32,6,26,0,11,5,3,23,20,0,0,0,15,56,32,49.2,8,32,15,60,39,14,25,0,18,14,7,8,14,0,0,36,24,87,FALSE,-31
21,35.6,8,30.8,5,55.6,27,8,19,0,12,6,4,11,23,0,0,5,13,55,22,45.8,8,36.4,29,82.9,41,10,31,0,14,5,10,13,16,0,0,30,14,81,FALSE,-26
31,51.7,12,46.2,5,100,38,11,27,0,15,6,4,10,23,0,0,22,19,79,18,34,5,22.7,21,84,30,12,18,0,8,3,4,10,13,0,0,0,13,62,TRUE,17
